dataset,w_feature,w_tree,quantization,argmax,LUTs,accuracy
Adult,3,2,False,True,502,N/A
Adult,3,3,True,False,321,N/A
Adult_original,2,2,True,False,321,N/A
Adult_original,3,1,False,False,321,N/A
Adult_original,3,2,False,True,502,N/A
Adult_original,3,3,True,False,442,N/A
Adult_original,3,3,True,True,439,N/A
Adult_original,4,1,False,False,463,N/A
Adult_original,4,1,False,True,463,N/A
Adult_original,4,2,True,True,391,N/A
Adult_original,5,1,False,True,435,N/A
Adult_original,6,6,False,False,1705,N/A
Adult_original,6,6,False,True,1705,N/A
Adult_original,6,7,False,True,1934,N/A
Adult_original,6,7,True,False,645,N/A
Adult_original,6,7,True,True,645,N/A
Adult_original,7,1,False,False,630,N/A
Adult_original,7,1,False,True,629,N/A
Covtype,1,3,False,False,1094,N/A
Covtype,1,3,False,True,1235,N/A
Covtype,1,3,True,False,644,N/A
Covtype,1,3,True,True,858,N/A
Covtype,1,4,False,False,1668,N/A
Covtype,1,4,False,True,1814,N/A
Covtype,1,4,True,False,941,N/A
Covtype,1,4,True,True,1201,N/A
Covtype,1,5,False,False,2142,N/A
Covtype,1,5,False,True,2443,N/A
Covtype,1,5,True,False,1199,N/A
Covtype,1,5,True,True,1543,N/A
Covtype,3,4,False,False,2248,N/A
Covtype,3,4,False,True,2454,N/A
Covtype,3,4,True,False,1348,N/A
Covtype,3,4,True,True,1534,N/A
Covtype,6,3,False,False,1694,N/A
Covtype,6,3,False,True,1873,N/A
Covtype,8,6,False,False,3455,N/A
Covtype,8,6,False,True,3587,N/A
Covtype,8,6,True,False,1496,N/A
Covtype,8,6,True,True,1818,N/A
DryBeans,3,2,True,False,1818,N/A
